FirstName,LastName,Username,Email,Password,DateOfBirth,PhoneNumber,Address,City,AcademicProgram
Dung,Do,dung.do1190,dung.do1190@student.sims.edu,,2004-03-04,555-9727,334 Tran Phu,Can Tho,Computer Science
Ngoc,Bui,ngoc.bui1191,ngoc.bui1191@student.sims.edu,,2005-04-14,555-8234,514 Tran Phu,Ha Noi,Electronics
Linh,Hoang,linh.hoang1192,linh.hoang1192@student.sims.edu,,2001-04-13,555-9799,981 Tran Phu,Ho Chi Minh,Information Technology
Duc,Hoang,duc.hoang1193,duc.hoang1193@student.sims.edu,,2005-07-28,555-8310,192 Hai Ba Trung,Can Tho,Physics
Thu,Le,thu.le1194,thu.le1194@student.sims.edu,,2003-03-06,555-5094,340 Nguyen Hue,Ha Noi,Physics
Yen,Ngo,yen.ngo1195,yen.ngo1195@student.sims.edu,,2004-09-28,555-3556,756 Nguyen Hue,Nha Trang,Computer Science
Thao,Tran,thao.tran1196,thao.tran1196@student.sims.edu,,2002-09-18,555-7321,708 Tran Phu,Can Tho,Electronics
Ha,Ly,ha.ly1197,ha.ly1197@student.sims.edu,,2002-06-13,555-9649,323 Tran Phu,Da Nang,Business
Tam,Ho,tam.ho1198,tam.ho1198@student.sims.edu,,2001-06-02,555-4209,809 Tran Phu,Ho Chi Minh,Business
Tuan,Le,tuan.le1199,tuan.le1199@student.sims.edu,,2005-10-10,555-7612,264 Nguyen Hue,Hai Phong,Computer Science
Vy,Le,vy.le1200,vy.le1200@student.sims.edu,,2003-07-20,555-1452,550 Le Loi,Nha Trang,Business
Lan,Tran,lan.tran1201,lan.tran1201@student.sims.edu,,2002-09-28,555-2257,753 Nguyen Hue,Hue,Mathematics
Quang,Le,quang.le1202,quang.le1202@student.sims.edu,,2001-06-15,555-3659,342 Hai Ba Trung,Hai Phong,Electronics
An,Hoang,an.hoang1203,an.hoang1203@student.sims.edu,,2002-06-03,555-3093,85 Nguyen Hue,Ha Noi,Physics
Linh,Bui,linh.bui1204,linh.bui1204@student.sims.edu,,2005-10-26,555-5236,84 Nguyen Hue,Hai Phong,Business
Hai,Dang,hai.dang1205,hai.dang1205@student.sims.edu,,2001-04-22,555-1362,183 Hai Ba Trung,Can Tho,Mathematics
Tuan,Tran,tuan.tran1206,tuan.tran1206@student.sims.edu,,2003-08-01,555-8151,582 Hai Ba Trung,Ho Chi Minh,Physics
Lan,Vu,lan.vu1207,lan.vu1207@student.sims.edu,,2004-04-02,555-7257,768 Le Loi,Ho Chi Minh,Physics
Trang,Nguyen,trang.nguyen1208,trang.nguyen1208@student.sims.edu,,2003-05-05,555-8507,288 Nguyen Hue,Hai Phong,Computer Science
Lan,Pham,lan.pham1209,lan.pham1209@student.sims.edu,,2003-08-08,555-5840,859 Tran Phu,Can Tho,Physics
Lan,Duong,lan.duong1210,lan.duong1210@student.sims.edu,,2003-04-09,555-5013,474 Le Loi,Ho Chi Minh,Information Technology
Hoa,Dang,hoa.dang1211,hoa.dang1211@student.sims.edu,,2002-06-02,555-9283,251 Nguyen Hue,Nha Trang,Mathematics
Phong,Vu,phong.vu1212,phong.vu1212@student.sims.edu,,2002-12-27,555-4556,890 Le Loi,Can Tho,Physics
Vy,Ho,vy.ho1213,vy.ho1213@student.sims.edu,,2004-03-26,555-7685,8 Tran Phu,Hai Phong,Electronics
Thu,Nguyen,thu.nguyen1214,thu.nguyen1214@student.sims.edu,,2004-12-23,555-4684,974 Hai Ba Trung,Hai Phong,Business
Giang,Le,giang.le1215,giang.le1215@student.sims.edu,,2003-10-22,555-7603,209 Hai Ba Trung,Nha Trang,Electronics
Quang,Nguyen,quang.nguyen1216,quang.nguyen1216@student.sims.edu,,2002-07-19,555-2370,613 Tran Phu,Da Nang,Physics
Quang,Hoang,quang.hoang1217,quang.hoang1217@student.sims.edu,,2001-08-18,555-8167,102 Le Loi,Can Tho,Information Technology
Duc,Nguyen,duc.nguyen1218,duc.nguyen1218@student.sims.edu,,2002-04-16,555-2562,403 Le Loi,Hai Phong,Information Technology
Giang,Pham,giang.pham1219,giang.pham1219@student.sims.edu,,2002-06-11,555-5942,338 Hai Ba Trung,Ho Chi Minh,Computer Science
Hoa,Pham,hoa.pham1220,hoa.pham1220@student.sims.edu,,2003-03-16,555-8789,145 Nguyen Hue,Can Tho,Business
Linh,Ly,linh.ly1221,linh.ly1221@student.sims.edu,,2002-11-13,555-1200,644 Hai Ba Trung,Nha Trang,Physics
Lan,Pham,lan.pham1222,lan.pham1222@student.sims.edu,,2001-09-02,555-1956,104 Hai Ba Trung,Ho Chi Minh,Physics
Thu,Huynh,thu.huynh1223,thu.huynh1223@student.sims.edu,,2002-01-06,555-6247,860 Tran Phu,Hue,Information Technology
Linh,Hoang,linh.hoang1224,linh.hoang1224@student.sims.edu,,2001-03-09,555-4771,565 Tran Phu,Ha Noi,Mathematics
Yen,Do,yen.do1225,yen.do1225@student.sims.edu,,2002-07-05,555-3830,114 Hai Ba Trung,Da Nang,Information Technology
Thao,Ly,thao.ly1226,thao.ly1226@student.sims.edu,,2003-12-20,555-7402,483 Nguyen Hue,Ha Noi,Physics
Giang,Ly,giang.ly1227,giang.ly1227@student.sims.edu,,2003-10-16,555-3881,115 Hai Ba Trung,Da Nang,Business
Ngoc,Huynh,ngoc.huynh1228,ngoc.huynh1228@student.sims.edu,,2001-11-16,555-9828,207 Nguyen Hue,Da Nang,Business
Khanh,Vo,khanh.vo1229,khanh.vo1229@student.sims.edu,,2004-05-21,555-7172,185 Le Loi,Da Nang,Computer Science
Bao,Le,bao.le1230,bao.le1230@student.sims.edu,,2003-08-05,555-8981,907 Tran Phu,Ha Noi,Information Technology
Ha,Duong,ha.duong1231,ha.duong1231@student.sims.edu,,2004-01-04,555-7434,549 Nguyen Hue,Hue,Mathematics
Trang,Bui,trang.bui1232,trang.bui1232@student.sims.edu,,2001-04-04,555-9976,161 Tran Phu,Can Tho,Business
An,Dang,an.dang1233,an.dang1233@student.sims.edu,,2004-07-24,555-2732,977 Hai Ba Trung,Ha Noi,Business
Trang,Le,trang.le1234,trang.le1234@student.sims.edu,,2001-02-14,555-2735,613 Hai Ba Trung,Ho Chi Minh,Mathematics
Giang,Tran,giang.tran1235,giang.tran1235@student.sims.edu,,2004-07-23,555-6728,188 Tran Phu,Can Tho,Computer Science
Tam,Duong,tam.duong1236,tam.duong1236@student.sims.edu,,2004-08-10,555-6706,561 Nguyen Hue,Hue,Physics
Ngoc,Ly,ngoc.ly1237,ngoc.ly1237@student.sims.edu,,2004-07-20,555-9707,128 Nguyen Hue,Hai Phong,Electronics
Giang,Tran,giang.tran1238,giang.tran1238@student.sims.edu,,2005-01-18,555-9775,300 Hai Ba Trung,Can Tho,Electronics
Vy,Nguyen,vy.nguyen1239,vy.nguyen1239@student.sims.edu,,2003-08-03,555-4790,765 Nguyen Hue,Da Nang,Physics
Linh,Pham,linh.pham1240,linh.pham1240@student.sims.edu,,2002-04-28,555-1954,187 Nguyen Hue,Hai Phong,Information Technology
Quyen,Vo,quyen.vo1241,quyen.vo1241@student.sims.edu,,2004-06-25,555-7230,71 Le Loi,Ha Noi,Information Technology
Binh,Vo,binh.vo1242,binh.vo1242@student.sims.edu,,2003-08-03,555-1664,807 Tran Phu,Nha Trang,Business
Ngoc,Pham,ngoc.pham1243,ngoc.pham1243@student.sims.edu,,2005-10-17,555-7288,618 Tran Phu,Da Nang,Computer Science
Tam,Huynh,tam.huynh1244,tam.huynh1244@student.sims.edu,,2001-09-05,555-7330,505 Nguyen Hue,Can Tho,Mathematics
Giang,Vu,giang.vu1245,giang.vu1245@student.sims.edu,,2005-05-18,555-2982,208 Tran Phu,Ho Chi Minh,Mathematics
Hai,Le,hai.le1246,hai.le1246@student.sims.edu,,2002-10-12,555-1339,542 Tran Phu,Da Nang,Computer Science
Nga,Do,nga.do1247,nga.do1247@student.sims.edu,,2002-12-26,555-2582,514 Le Loi,Da Nang,Physics
Duc,Hoang,duc.hoang1248,duc.hoang1248@student.sims.edu,,2005-05-16,555-7352,514 Le Loi,Ha Noi,Computer Science
Khanh,Hoang,khanh.hoang1249,khanh.hoang1249@student.sims.edu,,2003-03-07,555-5307,276 Tran Phu,Hue,Physics
Tuan,Ngo,tuan.ngo1250,tuan.ngo1250@student.sims.edu,,2001-06-16,555-3073,641 Hai Ba Trung,Can Tho,Computer Science
Vy,Huynh,vy.huynh1251,vy.huynh1251@student.sims.edu,,2001-01-03,555-1417,502 Le Loi,Ha Noi,Business
Chi,Vu,chi.vu1252,chi.vu1252@student.sims.edu,,2002-05-10,555-4869,463 Tran Phu,Hue,Information Technology
Hoa,Nguyen,hoa.nguyen1253,hoa.nguyen1253@student.sims.edu,,2004-12-12,555-6010,495 Le Loi,Da Nang,Information Technology
Hai,Vu,hai.vu1254,hai.vu1254@student.sims.edu,,2002-10-20,555-5770,562 Le Loi,Nha Trang,Computer Science
Bao,Ly,bao.ly1255,bao.ly1255@student.sims.edu,,2002-06-09,555-5021,506 Le Loi,Can Tho,Computer Science
Son,Tran,son.tran1256,son.tran1256@student.sims.edu,,2004-08-03,555-3687,65 Tran Phu,Hue,Electronics
Binh,Duong,binh.duong1257,binh.duong1257@student.sims.edu,,2005-10-18,555-6395,760 Le Loi,Hue,Information Technology
Tuan,Hoang,tuan.hoang1258,tuan.hoang1258@student.sims.edu,,2001-03-09,555-8127,663 Tran Phu,Can Tho,Computer Science
An,Tran,an.tran1259,an.tran1259@student.sims.edu,,2001-04-25,555-7583,164 Nguyen Hue,Hai Phong,Physics
Giang,Huynh,giang.huynh1260,giang.huynh1260@student.sims.edu,,2004-08-23,555-3947,5 Nguyen Hue,Hue,Business
Yen,Do,yen.do1261,yen.do1261@student.sims.edu,,2001-07-10,555-5388,998 Tran Phu,Can Tho,Business
Bao,Pham,bao.pham1262,bao.pham1262@student.sims.edu,,2001-02-27,555-8999,694 Tran Phu,Da Nang,Electronics
Son,Vo,son.vo1263,son.vo1263@student.sims.edu,,2002-11-14,555-9992,51 Nguyen Hue,Hue,Mathematics
Giang,Vu,giang.vu1264,giang.vu1264@student.sims.edu,,2004-04-27,555-3772,232 Hai Ba Trung,Can Tho,Computer Science
Minh,Vu,minh.vu1265,minh.vu1265@student.sims.edu,,2004-08-08,555-7824,317 Tran Phu,Hai Phong,Computer Science
Ngoc,Pham,ngoc.pham1266,ngoc.pham1266@student.sims.edu,,2004-01-09,555-9019,306 Tran Phu,Da Nang,Information Technology
Hoa,Ho,hoa.ho1267,hoa.ho1267@student.sims.edu,,2001-09-10,555-8909,244 Le Loi,Can Tho,Computer Science
Bao,Hoang,bao.hoang1268,bao.hoang1268@student.sims.edu,,2004-02-14,555-8825,730 Hai Ba Trung,Hai Phong,Physics
Trang,Pham,trang.pham1269,trang.pham1269@student.sims.edu,,2002-09-19,555-8326,851 Le Loi,Hue,Computer Science
Son,Nguyen,son.nguyen1270,son.nguyen1270@student.sims.edu,,2002-03-01,555-3466,585 Le Loi,Da Nang,Electronics
Quyen,Do,quyen.do1271,quyen.do1271@student.sims.edu,,2001-05-23,555-8715,932 Nguyen Hue,Can Tho,Information Technology
Hung,Nguyen,hung.nguyen1272,hung.nguyen1272@student.sims.edu,,2004-04-20,555-2389,612 Hai Ba Trung,Can Tho,Physics
Nga,Hoang,nga.hoang1273,nga.hoang1273@student.sims.edu,,2004-08-24,555-9754,105 Le Loi,Da Nang,Computer Science
Giang,Tran,giang.tran1274,giang.tran1274@student.sims.edu,,2001-11-12,555-7176,663 Le Loi,Ha Noi,Information Technology
Ha,Nguyen,ha.nguyen1275,ha.nguyen1275@student.sims.edu,,2001-09-22,555-9541,369 Hai Ba Trung,Ha Noi,Computer Science
Nam,Bui,nam.bui1276,nam.bui1276@student.sims.edu,,2004-10-14,555-3912,866 Tran Phu,Nha Trang,Physics
Trang,Hoang,trang.hoang1277,trang.hoang1277@student.sims.edu,,2002-07-21,555-8778,583 Nguyen Hue,Ha Noi,Mathematics
Binh,Do,binh.do1278,binh.do1278@student.sims.edu,,2005-04-15,555-3726,491 Nguyen Hue,Da Nang,Information Technology
Binh,Ho,binh.ho1279,binh.ho1279@student.sims.edu,,2004-03-16,555-5841,71 Tran Phu,Ho Chi Minh,Mathematics
Chi,Hoang,chi.hoang1280,chi.hoang1280@student.sims.edu,,2003-05-22,555-7090,891 Hai Ba Trung,Hai Phong,Computer Science
Khanh,Le,khanh.le1281,khanh.le1281@student.sims.edu,,2004-05-12,555-2197,451 Hai Ba Trung,Nha Trang,Electronics
Tam,Le,tam.le1282,tam.le1282@student.sims.edu,,2004-01-17,555-9281,136 Nguyen Hue,Hai Phong,Electronics
Nam,Huynh,nam.huynh1283,nam.huynh1283@student.sims.edu,,2002-11-09,555-4841,833 Nguyen Hue,Hue,Physics
Tam,Duong,tam.duong1284,tam.duong1284@student.sims.edu,,2005-09-02,555-5520,511 Hai Ba Trung,Nha Trang,Electronics
Bao,Bui,bao.bui1285,bao.bui1285@student.sims.edu,,2003-12-23,555-2628,465 Hai Ba Trung,Can Tho,Information Technology
Yen,Bui,yen.bui1286,yen.bui1286@student.sims.edu,,2001-07-01,555-9041,330 Tran Phu,Hue,Computer Science
Thu,Hoang,thu.hoang1287,thu.hoang1287@student.sims.edu,,2001-12-03,555-3476,676 Hai Ba Trung,Can Tho,Electronics
Mai,Ly,mai.ly1288,mai.ly1288@student.sims.edu,,2004-01-06,555-7918,852 Le Loi,Can Tho,Information Technology
Thu,Duong,thu.duong1289,thu.duong1289@student.sims.edu,,2005-06-17,555-9321,553 Le Loi,Hue,Physics
Tuan,Vo,tuan.vo1290,tuan.vo1290@student.sims.edu,,2002-12-09,555-9001,576 Tran Phu,Ho Chi Minh,Electronics
Hung,Bui,hung.bui1291,hung.bui1291@student.sims.edu,,2002-04-10,555-9026,462 Hai Ba Trung,Nha Trang,Electronics
Mai,Vu,mai.vu1292,mai.vu1292@student.sims.edu,,2002-11-14,555-1792,156 Tran Phu,Da Nang,Information Technology
Phong,Ho,phong.ho1293,phong.ho1293@student.sims.edu,,2002-02-12,555-7319,930 Nguyen Hue,Ho Chi Minh,Electronics
Mai,Nguyen,mai.nguyen1294,mai.nguyen1294@student.sims.edu,,2003-08-08,555-7383,854 Nguyen Hue,Hai Phong,Electronics
Vy,Huynh,vy.huynh1295,vy.huynh1295@student.sims.edu,,2003-01-13,555-9317,447 Tran Phu,Nha Trang,Mathematics
Tuan,Dang,tuan.dang1296,tuan.dang1296@student.sims.edu,,2003-08-03,555-6779,65 Nguyen Hue,Ho Chi Minh,Physics
Minh,Vu,minh.vu1297,minh.vu1297@student.sims.edu,,2004-02-28,555-4785,352 Tran Phu,Can Tho,Physics
Tam,Hoang,tam.hoang1298,tam.hoang1298@student.sims.edu,,2001-07-16,555-9928,833 Hai Ba Trung,Hai Phong,Computer Science
Ngoc,Hoang,ngoc.hoang1299,ngoc.hoang1299@student.sims.edu,,2002-12-14,555-3504,51 Nguyen Hue,Can Tho,Electronics
Giang,Duong,giang.duong1300,giang.duong1300@student.sims.edu,,2005-11-13,555-7754,170 Le Loi,Hue,Computer Science
Son,Pham,son.pham1301,son.pham1301@student.sims.edu,,2001-07-14,555-8302,906 Hai Ba Trung,Ho Chi Minh,Electronics
Phong,Hoang,phong.hoang1302,phong.hoang1302@student.sims.edu,,2002-04-19,555-8508,664 Nguyen Hue,Hai Phong,Business
Nam,Dang,nam.dang1303,nam.dang1303@student.sims.edu,,2004-04-23,555-6772,879 Tran Phu,Nha Trang,Physics
Phong,Do,phong.do1304,phong.do1304@student.sims.edu,,2005-02-23,555-9908,319 Tran Phu,Ho Chi Minh,Mathematics
Khanh,Bui,khanh.bui1305,khanh.bui1305@student.sims.edu,,2001-10-04,555-5306,489 Hai Ba Trung,Ho Chi Minh,Mathematics
Dung,Huynh,dung.huynh1306,dung.huynh1306@student.sims.edu,,2003-04-27,555-6335,28 Le Loi,Hai Phong,Mathematics
Nam,Duong,nam.duong1307,nam.duong1307@student.sims.edu,,2003-11-11,555-9211,679 Tran Phu,Da Nang,Physics
Binh,Hoang,binh.hoang1308,binh.hoang1308@student.sims.edu,,2003-12-06,555-9245,955 Tran Phu,Ha Noi,Electronics
Chi,Bui,chi.bui1309,chi.bui1309@student.sims.edu,,2003-06-24,555-4285,615 Le Loi,Da Nang,Information Technology
Tam,Ly,tam.ly1310,tam.ly1310@student.sims.edu,,2002-09-20,555-3806,921 Hai Ba Trung,Ho Chi Minh,Physics
Quang,Vu,quang.vu1311,quang.vu1311@student.sims.edu,,2003-02-16,555-1325,292 Hai Ba Trung,Can Tho,Information Technology
Dung,Hoang,dung.hoang1312,dung.hoang1312@student.sims.edu,,2003-03-27,555-8191,553 Le Loi,Ha Noi,Electronics
Minh,Bui,minh.bui1313,minh.bui1313@student.sims.edu,,2005-12-15,555-9652,404 Nguyen Hue,Hue,Electronics
Vy,Duong,vy.duong1314,vy.duong1314@student.sims.edu,,2005-07-06,555-2983,628 Le Loi,Hue,Computer Science
Hoa,Pham,hoa.pham1315,hoa.pham1315@student.sims.edu,,2005-12-10,555-2048,864 Hai Ba Trung,Ho Chi Minh,Business
Thao,Le,thao.le1316,thao.le1316@student.sims.edu,,2005-12-04,555-4927,893 Tran Phu,Can Tho,Mathematics
Ngoc,Ngo,ngoc.ngo1317,ngoc.ngo1317@student.sims.edu,,2003-08-20,555-1153,596 Le Loi,Hue,Mathematics
Tuan,Ly,tuan.ly1318,tuan.ly1318@student.sims.edu,,2005-07-18,555-6023,809 Le Loi,Hai Phong,Business
Vy,Tran,vy.tran1319,vy.tran1319@student.sims.edu,,2001-02-12,555-3501,389 Hai Ba Trung,Ho Chi Minh,Electronics
Lan,Vu,lan.vu1320,lan.vu1320@student.sims.edu,,2004-10-10,555-3824,168 Tran Phu,Nha Trang,Mathematics
Nam,Nguyen,nam.nguyen1321,nam.nguyen1321@student.sims.edu,,2005-03-12,555-7683,212 Nguyen Hue,Ho Chi Minh,Physics
Ha,Hoang,ha.hoang1322,ha.hoang1322@student.sims.edu,,2001-01-15,555-7405,229 Tran Phu,Hue,Information Technology
Thao,Huynh,thao.huynh1323,thao.huynh1323@student.sims.edu,,2002-03-24,555-1322,353 Hai Ba Trung,Ho Chi Minh,Information Technology
Nga,Ngo,nga.ngo1324,nga.ngo1324@student.sims.edu,,2001-05-27,555-9071,66 Nguyen Hue,Can Tho,Electronics
An,Ngo,an.ngo1325,an.ngo1325@student.sims.edu,,2003-01-13,555-5790,645 Tran Phu,Da Nang,Electronics
Dung,Vo,dung.vo1326,dung.vo1326@student.sims.edu,,2004-02-02,555-8946,32 Le Loi,Hue,Mathematics
Trang,Dang,trang.dang1327,trang.dang1327@student.sims.edu,,2004-04-26,555-6843,875 Le Loi,Ha Noi,Computer Science
Tuan,Ly,tuan.ly1328,tuan.ly1328@student.sims.edu,,2005-09-16,555-5509,345 Tran Phu,Ho Chi Minh,Physics
Bao,Pham,bao.pham1329,bao.pham1329@student.sims.edu,,2001-09-13,555-1535,418 Hai Ba Trung,Can Tho,Physics
Lan,Hoang,lan.hoang1330,lan.hoang1330@student.sims.edu,,2005-10-07,555-9432,159 Hai Ba Trung,Can Tho,Electronics
Ha,Ho,ha.ho1331,ha.ho1331@student.sims.edu,,2001-05-08,555-7304,677 Le Loi,Hue,Business
Tam,Tran,tam.tran1332,tam.tran1332@student.sims.edu,,2003-08-10,555-2439,324 Le Loi,Da Nang,Physics
Dung,Ngo,dung.ngo1333,dung.ngo1333@student.sims.edu,,2003-10-11,555-6790,802 Nguyen Hue,Nha Trang,Computer Science
Bao,Do,bao.do1334,bao.do1334@student.sims.edu,,2003-01-18,555-4686,637 Nguyen Hue,Ha Noi,Information Technology
Dung,Ngo,dung.ngo1335,dung.ngo1335@student.sims.edu,,2003-11-27,555-3652,629 Hai Ba Trung,Nha Trang,Physics
Lan,Nguyen,lan.nguyen1336,lan.nguyen1336@student.sims.edu,,2001-06-01,555-2735,668 Nguyen Hue,Can Tho,Mathematics
Tam,Ly,tam.ly1337,tam.ly1337@student.sims.edu,,2002-09-18,555-8238,410 Le Loi,Hue,Physics
Lan,Vu,lan.vu1338,lan.vu1338@student.sims.edu,,2005-04-18,555-4592,139 Le Loi,Ho Chi Minh,Physics
Quang,Vu,quang.vu1339,quang.vu1339@student.sims.edu,,2003-07-23,555-6905,24 Hai Ba Trung,Nha Trang,Information Technology
Thao,Ho,thao.ho1340,thao.ho1340@student.sims.edu,,2001-09-10,555-4472,607 Tran Phu,Ha Noi,Mathematics
Quyen,Huynh,quyen.huynh1341,quyen.huynh1341@student.sims.edu,,2003-12-09,555-8001,318 Hai Ba Trung,Can Tho,Business
Hai,Vo,hai.vo1342,hai.vo1342@student.sims.edu,,2005-01-11,555-7887,454 Tran Phu,Ha Noi,Electronics
Bao,Pham,bao.pham1343,bao.pham1343@student.sims.edu,,2003-09-06,555-8675,183 Le Loi,Nha Trang,Mathematics
Nam,Do,nam.do1344,nam.do1344@student.sims.edu,,2005-09-05,555-2640,19 Le Loi,Hue,Physics
Thao,Ho,thao.ho1345,thao.ho1345@student.sims.edu,,2004-08-11,555-7105,773 Nguyen Hue,Da Nang,Mathematics
Ha,Hoang,ha.hoang1346,ha.hoang1346@student.sims.edu,,2005-07-17,555-7639,563 Le Loi,Hue,Computer Science
Vy,Vo,vy.vo1347,vy.vo1347@student.sims.edu,,2005-04-24,555-7294,695 Le Loi,Can Tho,Business
Ngoc,Nguyen,ngoc.nguyen1348,ngoc.nguyen1348@student.sims.edu,,2001-09-20,555-7330,49 Tran Phu,Nha Trang,Physics
Thao,Pham,thao.pham1349,thao.pham1349@student.sims.edu,,2002-06-25,555-4141,516 Le Loi,Ha Noi,Mathematics
Hung,Nguyen,hung.nguyen1350,hung.nguyen1350@student.sims.edu,,2004-10-25,555-7313,434 Le Loi,Hue,Electronics
Son,Duong,son.duong1351,son.duong1351@student.sims.edu,,2004-07-19,555-4883,726 Le Loi,Hue,Business
Linh,Le,linh.le1352,linh.le1352@student.sims.edu,,2001-01-07,555-7542,696 Tran Phu,Ha Noi,Computer Science
Binh,Huynh,binh.huynh1353,binh.huynh1353@student.sims.edu,,2002-05-14,555-6320,179 Le Loi,Nha Trang,Computer Science
Phong,Hoang,phong.hoang1354,phong.hoang1354@student.sims.edu,,2005-01-12,555-1192,169 Le Loi,Can Tho,Electronics
Thu,Nguyen,thu.nguyen1355,thu.nguyen1355@student.sims.edu,,2001-10-15,555-7706,186 Nguyen Hue,Can Tho,Electronics
An,Vu,an.vu1356,an.vu1356@student.sims.edu,,2005-09-10,555-9928,873 Tran Phu,Ha Noi,Business
Tam,Vo,tam.vo1357,tam.vo1357@student.sims.edu,,2002-05-18,555-2722,245 Tran Phu,Da Nang,Information Technology
Minh,Vu,minh.vu1358,minh.vu1358@student.sims.edu,,2002-05-17,555-6776,43 Le Loi,Hai Phong,Electronics
Nam,Duong,nam.duong1359,nam.duong1359@student.sims.edu,,2004-01-20,555-9552,984 Nguyen Hue,Hue,Information Technology
Tam,Bui,tam.bui1360,tam.bui1360@student.sims.edu,,2005-03-21,555-2551,2 Hai Ba Trung,Hue,Mathematics
Yen,Bui,yen.bui1361,yen.bui1361@student.sims.edu,,2001-09-26,555-6240,625 Hai Ba Trung,Ho Chi Minh,Business
Chi,Vo,chi.vo1362,chi.vo1362@student.sims.edu,,2002-11-26,555-3610,257 Le Loi,Ha Noi,Business
Tam,Pham,tam.pham1363,tam.pham1363@student.sims.edu,,2002-08-16,555-8724,730 Nguyen Hue,Ha Noi,Computer Science
Tuan,Nguyen,tuan.nguyen1364,tuan.nguyen1364@student.sims.edu,,2004-04-11,555-6070,82 Nguyen Hue,Ho Chi Minh,Electronics
Bao,Duong,bao.duong1365,bao.duong1365@student.sims.edu,,2001-11-25,555-2348,40 Nguyen Hue,Hai Phong,Computer Science
Trang,Vu,trang.vu1366,trang.vu1366@student.sims.edu,,2005-01-27,555-9860,25 Hai Ba Trung,Hue,Physics
Ha,Do,ha.do1367,ha.do1367@student.sims.edu,,2005-09-03,555-7428,831 Nguyen Hue,Da Nang,Information Technology
Ngoc,Tran,ngoc.tran1368,ngoc.tran1368@student.sims.edu,,2004-12-15,555-3712,76 Le Loi,Ha Noi,Mathematics
Nam,Ngo,nam.ngo1369,nam.ngo1369@student.sims.edu,,2003-03-12,555-3800,337 Hai Ba Trung,Ha Noi,Business
Duc,Le,duc.le1370,duc.le1370@student.sims.edu,,2005-04-20,555-9603,478 Le Loi,Hai Phong,Mathematics
Tam,Nguyen,tam.nguyen1371,tam.nguyen1371@student.sims.edu,,2001-07-27,555-3561,124 Le Loi,Nha Trang,Electronics
Hung,Duong,hung.duong1372,hung.duong1372@student.sims.edu,,2003-02-14,555-6875,372 Tran Phu,Hue,Computer Science
Thao,Vo,thao.vo1373,thao.vo1373@student.sims.edu,,2003-11-27,555-9149,230 Tran Phu,Ho Chi Minh,Computer Science
Thu,Nguyen,thu.nguyen1374,thu.nguyen1374@student.sims.edu,,2005-12-07,555-9272,779 Le Loi,Hai Phong,Computer Science
Minh,Le,minh.le1375,minh.le1375@student.sims.edu,,2001-02-15,555-7657,712 Le Loi,Hai Phong,Business
Nam,Dang,nam.dang1376,nam.dang1376@student.sims.edu,,2004-08-06,555-6427,572 Nguyen Hue,Nha Trang,Electronics
Khanh,Ly,khanh.ly1377,khanh.ly1377@student.sims.edu,,2004-10-10,555-7414,283 Le Loi,Can Tho,Mathematics
Duc,Tran,duc.tran1378,duc.tran1378@student.sims.edu,,2004-12-05,555-3300,461 Le Loi,Can Tho,Computer Science
Mai,Bui,mai.bui1379,mai.bui1379@student.sims.edu,,2004-08-20,555-2741,38 Le Loi,Hai Phong,Electronics
Vy,Tran,vy.tran1380,vy.tran1380@student.sims.edu,,2005-01-05,555-3255,996 Nguyen Hue,Hue,Electronics
Hai,Dang,hai.dang1381,hai.dang1381@student.sims.edu,,2002-05-25,555-4611,233 Hai Ba Trung,Ha Noi,Electronics
Giang,Huynh,giang.huynh1382,giang.huynh1382@student.sims.edu,,2002-03-11,555-4169,410 Nguyen Hue,Hai Phong,Electronics
Chi,Ngo,chi.ngo1383,chi.ngo1383@student.sims.edu,,2003-08-17,555-1605,832 Le Loi,Da Nang,Business
Lan,Le,lan.le1384,lan.le1384@student.sims.edu,,2001-10-05,555-8037,927 Nguyen Hue,Da Nang,Physics
Ha,Le,ha.le1385,ha.le1385@student.sims.edu,,2002-09-23,555-7833,260 Le Loi,Ho Chi Minh,Business
Chi,Tran,chi.tran1386,chi.tran1386@student.sims.edu,,2003-02-02,555-2301,431 Nguyen Hue,Hai Phong,Business
Linh,Bui,linh.bui1387,linh.bui1387@student.sims.edu,,2001-07-25,555-7825,585 Hai Ba Trung,Nha Trang,Electronics
An,Vu,an.vu1388,an.vu1388@student.sims.edu,,2002-08-01,555-5865,974 Tran Phu,Hue,Physics
Chi,Huynh,chi.huynh1389,chi.huynh1389@student.sims.edu,,2001-01-24,555-5723,410 Nguyen Hue,Ha Noi,Computer Science
Hung,Nguyen,hung.nguyen1390,hung.nguyen1390@student.sims.edu,,2004-07-26,555-7973,422 Hai Ba Trung,Ha Noi,Business
Giang,Ngo,giang.ngo1391,giang.ngo1391@student.sims.edu,,2005-03-09,555-5942,649 Tran Phu,Can Tho,Business
Binh,Ho,binh.ho1392,binh.ho1392@student.sims.edu,,2002-01-10,555-9636,513 Hai Ba Trung,Hai Phong,Business
Phong,Nguyen,phong.nguyen1393,phong.nguyen1393@student.sims.edu,,2002-04-21,555-6386,315 Tran Phu,Ha Noi,Physics
Son,Tran,son.tran1394,son.tran1394@student.sims.edu,,2005-01-21,555-5321,239 Hai Ba Trung,Da Nang,Mathematics
Linh,Ho,linh.ho1395,linh.ho1395@student.sims.edu,,2003-07-20,555-1410,147 Nguyen Hue,Nha Trang,Electronics
